id;vehicleId;userId;started;finished;start-lat;start-lng;finish-lat;finish-lng;duration;distance;price;discount
133431;506;24160;31/10/2018 20:49;31/10/2018 21:38;40.43897629;-3.71197605;40.42432022;-3.70696259;2857;9.904909134;14.2;3.2
133442;1886;23165;31/10/2018 20:50;31/10/2018 20:50;40.44322586;-3.70254493;40.44322586;-3.70254493;-100;0.000359086;0;0
133440;1756;9738;31/10/2018 20:50;31/10/2018 20:56;40.41395187;-3.72501612;40.41077423;-3.71031451;264;2.011051893;0;3.4
133438;396;20751;31/10/2018 20:50;31/10/2018 21:14;40.43202972;-3.7036202;40.3972435;-3.71600628;1311;6.79559803;2.8;4.6
133446;473;2534;31/10/2018 20:51;31/10/2018 21:03;40.4468689;-3.71924543;40.42050934;-3.70840907;627;3.486981869;3.4;0
133441;1747;20833;31/10/2018 20:52;31/10/2018 21:03;40.45561981;-3.65667939;40.42889786;-3.66701007;582;4.073386192;3.4;0
133443;1927;4194;31/10/2018 20:52;31/10/2018 21:08;40.45153046;-3.69051504;40.41988754;-3.70795178;859;5.026036263;3.4;0
133449;444;12590;31/10/2018 20:52;31/10/2018 21:15;40.44770813;-3.70261455;40.39611053;-3.67939162;1250;8.144985199;7.4;0
133436;1855;14906;31/10/2018 20:54;31/10/2018 21:02;40.40336227;-3.70246339;40.41145325;-3.70775986;364;1.12666738;3.4;0
133444;1886;23165;31/10/2018 20:54;31/10/2018 21:10;40.44322586;-3.70254493;40.43090057;-3.70011377;814;2.959177732;0;3.4
133453;411;4711;31/10/2018 20:55;31/10/2018 20:59;40.47754288;-3.71410775;40.4766655;-3.70150661;83;1.362246037;3.4;0
133445;532;2852;31/10/2018 20:55;31/10/2018 21:04;40.42546844;-3.67999578;40.44248199;-3.67436814;401;2.849218607;3.4;0
133456;1898;2883;31/10/2018 20:56;31/10/2018 21:01;40.44477844;-3.67585993;40.43488693;-3.68063951;209;1.436421037;1.32;2.08
133457;1931;17068;31/10/2018 20:56;31/10/2018 21:04;40.40530396;-3.6751399;40.41186905;-3.69818807;339;2.248163462;3.4;0
133450;1851;11021;31/10/2018 20:58;31/10/2018 21:10;40.41463852;-3.70067334;40.3874855;-3.69097853;623;3.743285179;3.4;0
133452;1696;3464;31/10/2018 20:58;31/10/2018 21:03;40.43022537;-3.68119192;40.42713165;-3.67174482;184;1.128066421;3.4;0
133455;434;12825;31/10/2018 20:58;31/10/2018 21:13;40.45661926;-3.6976068;40.42421722;-3.68155932;777;5.298236847;3.4;0
133451;1897;6012;31/10/2018 20:59;31/10/2018 21:17;40.46979523;-3.69574499;40.43515396;-3.69304037;934;4.738150597;5.4;0
